"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"14","12","CD274","PDCD1",0.00182432169063177,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143"
"22","12","CD274","PDCD1",0.00172237747863677,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143"
"gamma-delta T","12","CD274","PDCD1",0.00111148219132795,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143"
"14","13","CD274","PDCD1",0.000322766954748547,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143"
"22","13","CD274","PDCD1",0.000304704926036305,0.03,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143"
"gamma-delta T","13","CD274","PDCD1",0.000196532759129198,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143"
"14","18","CD274","PDCD1",0.00184059401574612,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143"
"22","18","CD274","PDCD1",0.00173774207929991,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143"
"gamma-delta T","18","CD274","PDCD1",0.00112140337530781,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143"
"14","APOhi Macrophage","CD274","PDCD1",0.00148276715241711,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143"
"22","APOhi Macrophage","CD274","PDCD1",0.0013998824495678,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143"
"gamma-delta T","APOhi Macrophage","CD274","PDCD1",0.000903266660021634,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143"
"14","CCL2hi Macrophage","CD274","PDCD1",0.000668958725549197,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143"
"22","CCL2hi Macrophage","CD274","PDCD1",0.000631536054772528,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143"
"gamma-delta T","CCL2hi Macrophage","CD274","PDCD1",0.000407384061713652,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143"
"14","CD8+ T","CD274","PDCD1",0.000701576207217324,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143"
"22","CD8+ T","CD274","PDCD1",0.000662330069269769,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143"
"gamma-delta T","CD8+ T","CD274","PDCD1",0.000427252985430506,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143"
"14","DUSP4hi CD4+ T","CD274","PDCD1",0.00145594475298443,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143"
"22","DUSP4hi CD4+ T","CD274","PDCD1",0.0013745573224447,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143"
"gamma-delta T","DUSP4hi CD4+ T","CD274","PDCD1",0.00088691777781785,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143"
"14","MAFhi Macrophage","CD274","PDCD1",0.00110780421716865,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143"
"22","MAFhi Macrophage","CD274","PDCD1",0.0010458574878019,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143"
"gamma-delta T","MAFhi Macrophage","CD274","PDCD1",0.000674749085724468,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143"
"14","NK","CD274","PDCD1",0.000410131335374032,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143"
"22","NK","CD274","PDCD1",0.000387182292158926,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143"
"gamma-delta T","NK","CD274","PDCD1",0.000249737455608151,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143"
"14","TPT1hi CD4+ T","CD274","PDCD1",0.000173875366768966,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143"
"22","TPT1hi CD4+ T","CD274","PDCD1",0.000164143938588548,0.03,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143"
"gamma-delta T","TPT1hi CD4+ T","CD274","PDCD1",0.000105866522724958,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143"
"14","Treg","CD274","PDCD1",6.76116344183698e-05,0.01,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143"
"gamma-delta T","Treg","CD274","PDCD1",4.11646067035442e-05,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143"
