"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"16","16","TGFB3","TGFbR1_R2",0.000685412910173418,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"16","gamma-delta T","TGFB3","TGFbR1_R2",0.00037239064031088,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"gamma-delta T","16","TGFB1","ACVR1B_TGFbR2",0.00310888397376745,0.04,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"IL10hi Macrophage","16","TGFB1","ACVR1B_TGFbR2",0.00545514656827443,0.01,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"NK","16","TGFB1","ACVR1B_TGFbR2",0.00520332644991305,0.04,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"Treg","16","TGFB1","ACVR1B_TGFbR2",0.00260600982018229,0.04,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"16","16","TGFB3","ACVR1B_TGFbR2",0.000449340270143957,0,"TGFB3_ACVR1B_TGFBR2","TGFB3 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"16","16","TGFB1","ACVR1_TGFbR",0.00175150390044998,0.01,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"DUSP4hi CD4+ T","16","TGFB1","ACVR1_TGFbR",0.00284049691322125,0.01,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"gamma-delta T","16","TGFB1","ACVR1_TGFbR",0.00569214458506216,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"IL10hi Macrophage","16","TGFB1","ACVR1_TGFbR",0.010353129340837,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"NK","16","TGFB1","ACVR1_TGFbR",0.00940934836032525,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"Treg","16","TGFB1","ACVR1_TGFbR",0.00470358987310713,0.01,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"16","16","TGFB3","ACVR1_TGFbR",0.00186263714937163,0,"TGFB3_ACVR1_TGFBR1","TGFB3 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"16","16","BMP2","BMPR1A_ACVR2A",0.00100156166476323,0,"BMP2_BMPR1A_ACVR2A","BMP2 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"16","16","BMP2","BMPR1A_BMPR2",0.00206570235806738,0,"BMP2_BMPR1A_BMPR2","BMP2 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"16","16","BMP4","BMPR1A_ACVR2A",7.89985426543962e-05,0,"BMP4_BMPR1A_ACVR2A","BMP4 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"16","16","BMP4","BMPR1A_BMPR2",0.000163177403117233,0.01,"BMP4_BMPR1A_BMPR2","BMP4 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"16","16","GDF11","TGFBR1_ACVR2A",0.00230980080980506,0,"GDF11_TGFBR1_ACVR2A","GDF11 - (TGFBR1+ACVR2A)","GDF","Secreted Signaling","KEGG: hsa04350"
"IL10hi Macrophage","16","GDF11","TGFBR1_ACVR2A",0.000751117431686901,0,"GDF11_TGFBR1_ACVR2A","GDF11 - (TGFBR1+ACVR2A)","GDF","Secreted Signaling","KEGG: hsa04350"
"16","16","GDF15","TGFBR2",0.0152731289610876,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"16","DUSP4hi CD4+ T","GDF15","TGFBR2",0.00226280361941264,0.03,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"16","gamma-delta T","GDF15","TGFBR2",0.00247700072002894,0.03,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"16","IL10hi Macrophage","GDF15","TGFBR2",0.00979958329691189,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"16","NK","GDF15","TGFBR2",0.00399374652637483,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"16","16","INHBA","ACVR1B_ACVR2A",0.00354888984187377,0,"INHBA_ACVR1B_ACVR2A","INHBA - (ACVR1B+ACVR2A)","ACTIVIN","Secreted Signaling","KEGG: hsa04350"
"gamma-delta T","16","AREG","EGFR",0.00530023191901994,0,"AREG_EGFR","AREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"IL10hi Macrophage","16","AREG","EGFR",0.00127853220626675,0,"AREG_EGFR","AREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"gamma-delta T","16","AREG","EGFR_ERBB2",0.00313340233976493,0,"AREG_EGFR_ERBB2","AREG - (EGFR+ERBB2)","EGF","Secreted Signaling","KEGG: hsa04012"
"IL10hi Macrophage","16","AREG","EGFR_ERBB2",0.000754598101696831,0,"AREG_EGFR_ERBB2","AREG - (EGFR+ERBB2)","EGF","Secreted Signaling","KEGG: hsa04012"
"16","16","HBEGF","EGFR",0.00644428000926793,0,"HBEGF_EGFR","HBEGF - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"gamma-delta T","16","HBEGF","EGFR",0.0142656192595986,0,"HBEGF_EGFR","HBEGF - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"16","16","HBEGF","EGFR_ERBB2",0.00381153529649673,0,"HBEGF_EGFR_ERBB2","HBEGF - (EGFR+ERBB2)","EGF","Secreted Signaling","KEGG: hsa04012"
"gamma-delta T","16","HBEGF","EGFR_ERBB2",0.00846476951010937,0,"HBEGF_EGFR_ERBB2","HBEGF - (EGFR+ERBB2)","EGF","Secreted Signaling","KEGG: hsa04012"
"IL10hi Macrophage","16","HBEGF","EGFR_ERBB2",7.82884296704964e-05,0,"HBEGF_EGFR_ERBB2","HBEGF - (EGFR+ERBB2)","EGF","Secreted Signaling","KEGG: hsa04012"
"gamma-delta T","16","EREG","EGFR",0.0222457724775483,0,"EREG_EGFR","EREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"gamma-delta T","16","EREG","EGFR_ERBB2",0.0132435382570468,0,"EREG_EGFR_ERBB2","EREG - (EGFR+ERBB2)","EGF","Secreted Signaling","KEGG: hsa04012"
"16","16","FGF1","FGFR1",0.00585742551597754,0,"FGF1_FGFR1","FGF1 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"16","gamma-delta T","FGF1","FGFR1",0.000350866109062005,0,"FGF1_FGFR1","FGF1 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
