"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"CCL2hi Macrophage","13","TGFB1","TGFbR1_R2",0.00592143317094894,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"CCL2hi Macrophage","14","TGFB1","TGFbR1_R2",0.00456516955539629,0.03,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"APOhi Macrophage","15","TGFB1","TGFbR1_R2",0.00582856421371726,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"CCL2hi Macrophage","15","TGFB1","TGFbR1_R2",0.00991745018450598,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"CD8+ T","15","TGFB1","TGFbR1_R2",0.00518140958994711,0.01,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"DUSP4hi CD4+ T","15","TGFB1","TGFbR1_R2",0.00496346883948066,0.03,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"MAFhi Macrophage","15","TGFB1","TGFbR1_R2",0.00585205831963391,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"NK","15","TGFB1","TGFbR1_R2",0.00523720081711309,0.01,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"TPT1hi CD4+ T","15","TGFB1","TGFbR1_R2",0.00525363352988993,0.02,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"CCL2hi Macrophage","16","TGFB1","TGFbR1_R2",0.00854728937214245,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"MAFhi Macrophage","16","TGFB1","TGFbR1_R2",0.00505681403915898,0.04,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"13","17","TGFB1","TGFbR1_R2",0.00656164110729663,0.01,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"APOhi Macrophage","17","TGFB1","TGFbR1_R2",0.00838092692797023,0.01,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"CCL2hi Macrophage","17","TGFB1","TGFbR1_R2",0.014233361693933,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"CD8+ T","17","TGFB1","TGFbR1_R2",0.00745208403538614,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"DUSP4hi CD4+ T","17","TGFB1","TGFbR1_R2",0.00713965505219886,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"MAFhi Macrophage","17","TGFB1","TGFbR1_R2",0.00841297665742175,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
