"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","Condition"
"14","12","NECTIN2","TIGIT",0.00511236430783801,0,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"16","12","NECTIN2","TIGIT",0.00216150750279097,0,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"19","12","NECTIN2","TIGIT",0.00723775904382553,0,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"21","12","NECTIN2","TIGIT",0.00733567245304776,0,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"22","12","NECTIN2","TIGIT",0.00182769675233518,0,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"gamma-delta T","12","NECTIN2","TIGIT",0.00184697892621149,0,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"14","13","NECTIN2","TIGIT",0.000218757583767461,0,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"16","13","NECTIN2","TIGIT",9.22288536516542e-05,0.02,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"19","13","NECTIN2","TIGIT",0.000310337633443329,0.03,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"gamma-delta T","13","NECTIN2","TIGIT",7.87845339836186e-05,0,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"14","15","NECTIN2","TIGIT",0.00133108365158096,0,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"16","15","NECTIN2","TIGIT",0.000561550222542935,0,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"19","15","NECTIN2","TIGIT",0.00188744560521322,0,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
